company_id,company_name,average_rating,num_review,city,type,num_employee,country,working_day,OT,overview,expertise,benifit,logo_link
kms-technology,KMS Technology,4.0,197 Reviews,"Ho Chi Minh, Da Nang, Ha Noi",Outsourcing,1000+,United States,Monday - Friday,No OT,"Established in 2009, KMS Technology is a U.S.-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers.

KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. 

KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards, and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row.",,"Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNE1uREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--97db4f0be292da42408f8c8ba126cbf20b1626a8/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/kms-technology-logo.png
nab-in-collaboration-with-positive-thinking-company-in-vietnam,NAB in collaboration with Positive Thinking Company in Vietnam,4.4,11 Reviews,Ho Chi Minh,Product,501-1000,Australia,Monday - Friday,No OT,"NAB in collaboration with Positive Thinking Company have launched a Technology Centre for NAB in Vietnam. This is a state-of-the-art centre dedicated to High Tech and Agile Development. Since its inception in 2019, the NAB Centre in Vietnam is a great place to work where local tech engineers thrive.


CLOUD FIRST


NAB’s undergoing an exciting ""Cloud First"" technology transformation by taking advantage of the latest tools and techniques used by leading technology and digital companies globally. But it’s not just about the Tech, we’re also investing heavily in our people, so if you have an appetite to learn, grow and elevate others around you, this is the place for you!


IT'S MORE THAN MONEY!


We believe in people with ideas and dreams, &amp; we want you to achieve your aspirations. We'll work together to deliver exceptional products and outcomes that push the limits of our aspirations. Our passion for creating value &amp; exceeding our customers' expectations means we're constantly striving to redefine our standards of excellence. You'll have our backing to develop and our encouragement to explore, realize and reach your full potential.","Languages &amp; Frameworks


JavaScript ES6, TypeScript, Node.js, React - Redux, Java, Spring Boot, Serverless,


Cloud Services - AWS, Azure


Lambda, Postgres, S3, API Gateway, CLI, SNS/SQS, EC2, ECS, Cloud Watch, Splunk, SignalFX, AppDynamics


DevOps


Jenkins, Artifactory, SonarQube, GitHub, CloudFormation, Kubernetes, CHEF, Hashicorp Sentinel, Packer, Terraform, Harshicorp Vault, KONG gateway, Venafi


Collaboration


Microsoft Outlook, JIRA, Confluence, Microsoft Teams, ServiceNow","THE BENEFITS AND PERKS




Very competitive remuneration package


Generous private family healthcare for yourself and two family members


A solid team behind you - great people who love what they do


The pleasant, enthusiastic, international work environment


Opportunity for traveling &amp; training in Australia


Brand new &amp; state of the art Agile offices


Latest technologies, flexible working hours


A promising training and career path


Fun team activities &amp; outing


English learning with native English teachers




If this excites you, let's have a chat over a cup of coffee!",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOXlWSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7d1a908cbae15e0eae2b893df15af3dbc63daf19/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/nab%20-%20logo%20.png
robert-bosch-engineering-and-business-solutions,Robert Bosch Engineering And Business Solutions,3.2,217 Reviews,"Ho Chi Minh, Ha Noi",Product,1-50,Germany,Monday - Friday,No OT,"Robert BOSCH Engineering and Business Solutions Vietnam (RBVH) is a 100% owned subsidiary of Robert Bosch GmbH, one of the world's leading global supplier of technology and services. RBVH began operations in October 2010 and today offers hi-tech software, and engineering solutions in primarily three areas:



Engineering services in embedded system, mechanical design and simulation


IT services


Business services



Over 2000 highly skilled and competent employees, work on developing new products and smart solutions for the globe. RBVH is an innovation hub for the ASEAN region and near shore markets of Japan, Korea and China.
Bosch in Vietnam was voted 'Number 1 Employer' in the engineering/mechanical sector and ranked in the 'Top 20 Best Employers' across all industries in Vietnam Best Places to Work 2015.","Embedded Software for Automotive Applications


Enterprise Software development using Java &amp; .Net


SAP Consulting","Why 
BOSCH
?

Because we don't just follow trends, we 
create 
them.

Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.


Benefits and Career Opportunities




Working in one of the 
Best Places to Work i
n Vietnam


Join a dynamic and fast growing global company (
English-speaking
 environment)




13th-month salary bonus 
+ attractive 
performance bonus 
(you'll love it!) + annual performance appraisal




100% monthly basic salary
 and 
mandatory social insurances
 in 2-month probation




Onsite opportunities
: short-term and long-term assignments




15++ days of annual leave 
+ 1 day of birthday leave


Premium health insurance for employee and 
02 family members





Flexible working time



Lunch and parking allowance


Various training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skills




Fitness &amp; sport activities
: football, badminton, yoga, Aerobic


Free in-house entertainment facilities and snack


Join in various team building, company trip, year-end party, tech talks and a lot of charity events",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3dvREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--945efb2631cdc42ca1eae527cc42c8e62a40695f/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--0ee2142826455db8f2c2c0595c4fa369c30c09c8/robert-bosch-engineering-and-business-solutions-logo.jpg
gft-technologies-vietnam,GFT Technologies Vietnam,,Reviews,"Ho Chi Minh, Ha Noi",Outsourcing,51-150,Germany,Monday - Friday,No OT,"Working at GFT Vietnam


GFT is driving the digital transformation of the world’s leading companies in the financial and insurance sectors, as well as in the manufacturing industry. As an IT services and software engineering provider, GFT offers strong consulting and development skills across all aspects of pioneering technologies, such as cloud engineering, artificial intelligence, mainframe modernization, and the Internet of Things for Industry 4.0.

With its in-depth technological expertise, profound market know-how, and strong partnerships,
GFT implements scalable IT solutions to increase productivity. This provides clients with faster access to new IT applications and innovative business models, while also reducing risk.

Founded in 1987 and located in more than 15 countries to ensure close proximity to its clients, GFT employs 6,000 people.


Big enough to deliver, small enough to care.


This motto applies not only to our projects but also to our work at GFT. We offer the advantages of a globally connected group of companies, combined with the benefits of a medium-sized company. At the same time, we offer a very international environment, the opportunity to work abroad (6,000 colleagues).","Technical frameworks


Java/Kotlin, Spring Boot, Spring Framework, Kafka, Spring Cloud, JPA, JavaScript ES6, TypeScript, React Redux, React Native.


Cloud Engineering (AWS) and Platform/DevOps


EC2, Lambda, Postgres, S3, API Gateway, CLI, CloudFormation, SNS/SQS, Cloud Watch, Spinnaker, CircleCI, Artifactory, SonarQube, GitHub, Kubernetes, Terraform, Packer, Hashicorp Sentinel, Vault","HR benefits




Competitive salary


Salary band per level and employee benefits are reviewed once per year


13th month salary pro rata depending on the employee’s length of service (within a calender year), paid with the December salary


Monthly lunch allowance: 700,000 VND/employee


Parking: GFT covers the monthly parking fee for employee motorbikes


Performance evaluation is once per year, for 2 purposes:
   &gt; Performance bonus   &gt; Salary increments




Talent retention policy
 (Retention bonus)



2-year anniversary = 0.5x monthly salary


3-year anniversary = 1x monthly salary


5-year anniversary = 2x monthly salary


Paid with salary of month of anniversary.




Health care




Private health insurance: including accident, outpatient, in-patient, maternity, and dental for all permanent employees who pass 2-month probation.


Optical: expense claim for eyewear


Annual health check-ups.




Vacation




Maximum 18-day vacation leave/year (with the ability to carry over 05 days till 31st March of the following year)


Adding one more annual leave day for each two-year anniversary.




Healthy lifestyle




Sports and hobby clubs: company has an annual fund for fitness activities, which is allocated per month as team’s vote.


Range of healthy snacks, tea, coffee, milk and beer on tap:
&gt; Tea, coffee and milk are available at pantry area – WeWork
&gt; Beer is available at pantry area – WeWork
&gt; Snack is available in GFT office.




Social




Company townhall: each 6 weeks


Monthly team lunch at restaurants


Monthly team engagement activities: one activity per month


CSR activities: as per company’s CSR guideline and practice


Hackathon: once per year


Onsite tour/training courses at other GFT offices and client’s destination overseas (where applicable).",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMW9DR3c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a1ee00ab2abb209aff82835594275d4adbac6396/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/Screenshot%202020-12-09%20at%203.14.55%20PM.png
tyme,Tyme,4.6,29 Reviews,"Ho Chi Minh, Ha Noi",Product,151-300,Vietnam,Monday - Friday,No OT,"Tyme Vietnam
 is the international arm of 
Tyme
 
Group 
with operations in Hong Kong, Vietnam, The Philippines, and South Africa. We own the technology platform and intellectual property globally and collaborate with in-country partners to launch new digital banks.


Our team is an ideal blend of entrepreneurs, engineers, and banking experts. We are serial bank builders who re-imagine the bank’s digital future through technology.


Our “
high-tech, high-touch
” philosophy has its roots deep in our culture. As a technology-powered organization, we leverage emerging technologies and collaboration tools to create a digital and mobile workplace that reinforces agility, creativity, and teamwork.

But we don’t forget about touch – the power that connects our people. We strive hard to find the right balance between the digital and physical worlds; the healthy mix that boosts productivity and employee well-being. 

We are building a positive, fast-paced work environment that provides intellectual stimulation and inspiration to the best talents. Here at 
Tyme
, you will work with our small, but great teams, and find exciting opportunities with great adventures.","Mobile/ Tablet Development: 
Native Android/iOS platforms for Mobile Banking, Kiosk Oboarding &amp; Money Transfer.




Web development: 
Fully customized Single page Realtime Responsive for Internet Banking, Web Origination and Backoffice Console.




Integration: 
Integration with Core Banking and many third parties



If you want to work in a flexible environment with many cool engineering talents can define career pathways and development opportunities




So why don't you discover our opening positions now!","Our goal is simple: to be the #1 digital technology hub in Vietnam. We pride ourselves on being cutting edge and stretching the limits of all our personnel - whether you are a mobile engineer, in quality assurance, or a technical lead architect in our team. Our engineering teams form a cohesive, collaborative and motivated community that delivers innovative solutions to our businesses in Asia and Africa.


You’ll love working with us if you are:




Passionate about technology


Independent but also a good team player


Comfortable with a high degree of ambiguity


Focused on usability and speed


Keen on presenting your ideas to your peers and management



At 
TYME,
 opportunities are here for the taking. If want to be part of our purpose and live and lead through our values, we can offer exciting development opportunities through expanded lateral roles, stretch assignments or people leadership.


Some of our benefits:






Meal and parking allowance
 are covered by the company.




Full benefits and salary rank during probation
.




Insurances
 as Vietnamese labor law and 
premium health care
 for you and your family.




SMART goals and clear career opportunities
 (technical seminar, conference, and career talk) - we focus on your development.



Values-driven, international working environment, and agile culture.





Overseas travel opportunities
 for training and working related.




Internal Hackathons and company's events
 (team building, coffee run, blue card...)




Pro-Rate 
and 
performance bonus
.




15-day annual + 3-day sick leave
 per year from the company.


Work-life balance 
40-hr per week
 from 
Mon to Fri
.",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM1FhSWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c6dd7d3f51c5d29f95a6cda9d655de1eb5047971/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/Tyme%20Logo%20Black.png
hansen-technologies,Hansen Technologies,4.8,16 Reviews,"Ho Chi Minh, Ha Noi, Da Nang",Product,51-150,Australia,Monday - Friday,No OT,"Hansen (ASX: HSN) is a global provider of software and services to the energy, water and communications industries. With our award-winning software suite, we help more than 600 customers in over 80 countries to create and deliver new products and services, engage with customers, and control and manage critical revenue management and customer support processes.

We are a culture of persistent problem solvers, together on a journey with our customers striking the right balance between the legacy and future advancements. Striving for infinite progression, rather than the perfect destination, our philosophy is rooted in the belief that incremental innovation and co-development, together with our customers, is the pragmatic path forward rather than over-hyped large-scale disruptions.","Why work for us?


Every day, we at Hansen inspire and challenge today’s utilities and telecoms to be tomorrow’s next experience companies.

From North America to Australia and everywhere in between, you’ll be part of a global team of technology professionals who work directly to enable our clients to innovate more freely and engage at a new level with their customers.","Competitive Market Rate Salary - full salary (including SI contribution) during the probation period and 13th-month salary


Twice yearly salary review


Full participation in the annual Hansen Profit Share Program


Great Leave Options – including 12 days annual leave during Year 1, increasing to 15 days annual leave and 12 days paid sick leave per year).


Premium healthcare for employee and dependents (spouse and {all} children and support for parents). Also, free comprehensive annual check-up for employees.


High-speed Internet credit: VND 5,5million/year


Wellness benefit: VND 2million annually for fitness package/devices


Free lunch, snacks, and drink in our new modern offices, which have a cool open atmosphere with an outdoor cafe, bar, and recreation area in District 2 – including free scooter parking


Continuous Learning and Development, including personalised LinkedIn Learning – online content platform.


Work from Home opportunities supported.


Reward and Recognition - Company sponsored trips and events, tenure milestones and global recognition program.


New, modern developer laptop, 2 large monitors, and headset.


An international work environment, highly skilled colleagues to learn from both locally and globally where you can develop your IT career and English skills.",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM3g1SHc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c535e18eca3ff84fd6857746a6ea66ed9cb31b69/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/logo2.png
bbv-vietnam,bbv Vietnam,4.1,8 Reviews,"District 12, Ho Chi Minh",Outsourcing,51-150,Switzerland,Monday - Friday,No OT,"Established since 2006 as part of bbv Group, one of the leading software companies in Switzerland, bbv Vietnam is a software development outsourcing company with strong experience in collaborating with customers from Switzerland and Germany.
 

As a specialist in software development outsourcing, we understand that communication is the key to a successful project over distance.

We apply agile frameworks such as Scrum and Kanban in our software development process to promote open communication and transparency throughout our processes so we can respond swiftly and successfully to changes.You will learn to be a self-managing and self-responsible professional that shares his valuable expertise with the team.",,"The reasons why you want to work at bbv:


• Friendly working environment
• English speaking environment
• Truly Agile software development
• Working with top talents from Switzerland, Germany, Greece, and Vietnam
• We support English classes at top English centers in Ho Chi Minh
• We support sports clubs, parking fee, free coffee, snacks and lunch
• Working with latest technologies (microservices, CI/CD, latest version of Java, Angular).
• Working with different business domains such as e-commerce, automotive, logistics, insurance, healthcare.
• Participating in the complete software development lifecycle and help making visions work
• Exchanging knowledge with 20 internal communities (Java, .NET, PHP, Cloud Computing, Mobile Development, IoT, Cryptocurrencies)
• Annual company trip and team building activities
• Year-end party and project team dinners
• Gifts on Christmas and Tet",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd0h3R3c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--29120eae59854e3744b013b08a7a79777a5f1e8a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/images.png
dek-technologies,DEK Technologies,4.0,60 Reviews,"District 1, Ho Chi Minh",Outsourcing,301-500,Australia,Monday - Friday,No OT,"DEK Technologies is a professional organization that places high value on people and the individual competence that they contribute. People enjoy working at DEK. They enjoy the team camaraderie, flexibility, opportunities for travel, and feeling part of the company's success.
Come and be proud to be an integral part of helping our international customers develop the latest products that are sold globally and used by millions of people around the world.
With offices situated in Melbourne Australia, Stockholm Sweden, Rome Italy, and Ho Chi Minh City Vietnam, you too can be a key part of our success.",,"At DEK Technologies you will find yourself in an exciting career with:

 



Attractive, competitive salary and incentives


Opportunities for short and long-term training/work overseas


An excellent working environment in developing tomorrow’s features


Open and honest culture where people are valued, treated fairly, trusted and empowered


Training and career development opportunities


40 flexible working hours per week from Monday to Friday


English classes 3 hours a week with qualified foreign teachers


Extra 24/7 Health and Accident Insurance


Annual health check up


Annual company trip


Annual family day


Sport clubs


Music club


Yoga club


Piano club",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOUFuREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4f2e6d9f3a3f8fd68828c39ac6b14b8ea961c55e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/dek-technologies-logo.png
money-forward-vietnam-co-ltd,"MONEY FORWARD VIETNAM CO.,LTD",4.6,9 Reviews,"Ho Chi Minh, Ha Noi",Product,51-150,Japan,Monday - Friday,No OT,"About our parent company, Money Forward, Inc.




Top fintech company in Japan


Listed on First Section of the Tokyo Stock Exchange (for large companies)


A ruby committer belongs to our company


Provides B2C services, a personal financial management service “Money Forward ME”, which has 12 million users in Japan and No. 1 market share in Japan


Provides B2B services, “MF Cloud Series”, SaaS-type service platform for businesses, providing comprehensive services for back office operations




About Money Forward Vietnam Co., Ltd




100% Japanese company


Opportunities to create services for Vietnamese market, Southeast Asian market, world market


English-speaking environment


Interesting Engineering Projects


Develop brand-new services related finance services, back office operation (Saas)


Develop new features in personal financial management service in Japan","- Languages: Ruby on Rails, Golang, AI, JavaScript, Swift, Kotlin, Objective-C, Android Java
- Tools: G Suite, GitHub, Slack, ChatWork, Trello, CircleCI, Docker, New Relic, Datadog
- Platforms: Heroku, AWS, GCP
- Methods: Agile, Scrum
- Machines: Macbook Pro, Dell monitor","- Salary review
: Twice a year

- Bonus:
 13th-month salary

- Paid leave
: 15 days in total, Maternity leave for partner (extra 5 days)

- Awards:
 Monthly Culture Hero, Half-year MVP for excellent members

- Activities
: Company trip, Year-end party, Half-year party, team-building, happy hour, etc...

- Devices:
 MacBook Pro + Dell Monitor

- Working hour
: Monday to Friday (working hour starts from 8am to 9am)

- Health care
: Annual health check

- Insurance:




Social Insurance, Health Insurance, Unemployment Insurance (company will pay for full salary)


Voluntary health insurance &amp; accident insurance (Bao Viet Tokio Marine Insurance 24/7




- Training:




External or internal training courses


Internal workshop


Support Attending Conference


Scrum training


Order books based on member's requests




- Others:




Grab expenses on the party day


Club activities, playstation, billiard, etc…


Free bike parking, fruits and coffee",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOVVIRFE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--9d351bcd040296ef5ce833fba08705f0aa7c360a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--623b1a923c4c6ecbacda77c459f93960558db010/money-forward-vi-t-nam-logo.png
titan-technology-corporation,Titan Technology Corporation,3.5,11 Reviews,"Ho Chi Minh, Others",Outsourcing,151-300,Vietnam,Monday - Friday,No OT,"Titan Technology Corporation
 is a software outsourcing services company founded in 2013 by a professional team, with a big vision and mission to provide the best services to our clients.

We are delivering a leading service for global clients in various categories, committed to the highest level of customer satisfaction, contributing to the nation’s prosperity and providing to our employees with the most favorable working environment, enabling them to express their own color under Titan’s home.

We have ability to offer comprehensive knowledge, experience of various domains and industries in software development thank for our proven Engagement Models, help us not only deliver high-quality services but also minimize costs and maximize benefits for our valued clients.

With great resource of talent and long-year working experience, we confidence to broaden our client data list to other oversea markets in the upcoming year and become a leading global corporation in providing comprehensive software development.",,"Competitive salary depending on skills and capabilities;


13th salary plus 14th, 15th, 16th salary based on business performance.


Performance review twice a year;


Comfortable working conditions and flexible working time;


Good career growth opportunities with interesting and challenging projects;


English, technical and soft skills training courses;


Additional healthcare insurance and annual health check-up;


Light beverage and food are available all the time in the office;


Outdoor activities with company support: sport clubs, team building, happy hour party, birthday, company trip, staff and family events, etc.",https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMk9oRmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--81a7f3a42024208970726726ac3dd2837cec7441/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--0ee2142826455db8f2c2c0595c4fa369c30c09c8/Logo_Official.jpg
