job_id,company_id,job_name,taglist,location,three_reasons,description
kms-technology:jrsr_qa_engineer_kms_labs_bonus,kms-technology,"(Jr/Sr) QA Engineer, KMS Labs - BONUS", QA QC   English   Tester ,"290/26 Nam Ky Khoi Nghia, ward 8, District 3, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","KMS Labs is the startup incubation arm of KMS Technology. Our team consists of technology entrepreneurs and builders who have lived through everyday struggles of launching and operating software businesses for the last 2 decades. Examples of companies we have built from the ground up:






QASymphony
: Leading agile test management platform. Merged with Tricentis, a Europe tech unicorn.





Kobiton
: Mobile testing platform with big clients such as Uber, AT&amp;T, Office Depot, Frontier Airlines and Capgemini. Raised $19.2M from top-tier VCs and acquired Mobile Labs.





Katalon
: All-in-one test automation solution being used by more than 65,000 companies from over 160 countries all over the world. Gartner Peer Insights Customers’ Choice in March 2020.





GroveHR
: HR platform that helps SMBs digitize their HR operations and create attractive digital employee experience, being used by more than 3000 companies in many countries.





Below are some key responsibilities we expect of you:




Execute the testing strategy and test plans for each software release


Work with other QAs to develop, maintain and execute testing for our product features during development cycles and releases


Report, track, and monitor defects on the defect tracking system


Investigate defect reports from production support and isolate their causes


Work with product team to understand product requirements and designs and provide feedback during product development cycles










At least an intermediate skill level of English


Likely having 2+ years of experience and 
Good experience in manual testing for web-based





Strong computer science foundation and knowledge of SDLC/STLC



Excellent interpersonal and independent working skills


Strong critical thinking and problem-solving skills









Perks you Enjoy:





Highly competitive salary and benefits




Work with a highly talented team in one of the best places to work in Vietnam




Modern office in HCMC; premium healthcare insurance for you and your family; annual company trip and year-end party; many fitness/sport programs and team building events; in-house entertainment facilities, snacks and beverages.





And much more, join us to build high-impact global products from Vietnam!"
kms-technology:engineering_manager_bonus,kms-technology,Engineering Manager - BONUS, Project Manager   Agile   English ,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary. ***Apply and Join in Sep 20 - Nov 30, 2021



---------------------------------------------------------------------------------------------------------




Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. New member will get designated supports:





Working devices will be delivered at door upon the new member's joining date




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




------------------------------------------------------------------------------------------------------------



Play the role of Scrum Master to coach and facilitate one or many teams following the agile approach


Work with technical leaders to set up and maintain engineering practices that ensure the quality of project deliverables to meet KMS standards and exceed customer expectations


Liaise with customer key stakeholders, usually based in the US, to make sure smooth onshore-offshore collaboration. Involve hands-on to resolve any blocker


Be a servant leader to motivate and develop team members toward the strong team with great success










Possesses solid knowledge and skill of software requirement, development process, project management and leadership


Perform exemplary work in managing projects, practice/service and mentor others in project management, leadership


Knowledge and experience running projects applying Agile


Good human relation skills, ability to collaborate effectively across departments and teams


Strong presentation and client relation skills


Strong organizational, analytical and problem-solving skills


Excellent English communication – in both writing and speaking


PMP and Scrum Master certificates are desirable


Experience running projects applying continuous integration, continuous delivery is a plus










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year and performance bonus


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:fullstack_mobile_mobilenodejs_kobiton,kms-technology,"Fullstack Mobile (Mobile,NodeJs) Kobiton", NodeJS   React Native   Fresher Accepted ,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","is the mobile experience platform trusted by leading organizations globally.  Our best-in-class software platform helps drive improved revenue on the mobile channel by lowering app abandonment, improving quality and reducing time-to-market. Used by over 60,000 developers and testers worldwide, Kobiton is transforming the way companies deliver mobile apps through innovative applications of Artificial Intelligence, Real-Device Testing and the industry’s first and only mobile scriptless automation solution. There's a reason the world's mobile elite choose Kobiton to deliver perfect mobile experiences for their users.

Kobiton is founded and funded by KMS Technology, a global technology company with over 1,000 resources in Vietnam and the United States. KMS has an offshore product development business and also created two other software companies in the software testing space: QASymphony (sold to Insight Partners and merged with Tricentis($100M ARR)) and Katalon (over 750,000 global users). Kobiton has the advantage of operating as its own company while leveraging the infrastructure and the strength from KMS.


Responsibilities




If you are a highly-motivated individual with a genuine interest in technology and a passion to deliver cutting-edge products, we have the perfect job for you!


We are seeking Senior - Middle - Full-stack (Mobile, NodeJS) Developer who has experience Mobile Apps to work with our dream team environment in order to deliver the best software solutions to our innovative and industry-leading products



 







Key responsibilities:




Develop features and enhancements on existing products based on defined requirements and designs


Follow given procedures and instructions to produce well-designed, testable and clean code.


Working on NodeJS and mobile frameworks


Integration between cross environments - desktop, web and mobile


Read log files and write automation test-scripts to investigate issues


Write samples and documents to guide for end-users


Participate in numerous activities for building software product: requirement analysis / enhance UI-UX design / Scrum process / customer support / improve devOps infrastructure / …


Actively contribute ideas and efforts to product success


Be able to switch to cross languages for full stack tasks


Perform other duties as assigned




Nice to have:




Have experience in C/C++ native libraries and reverse engineering binary files (e.g: ipa / apk files)


Have published one or more iOS/Android apps in the App Store, Play Store, Github, or Bitbucket…
 










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:jrsrprincipal_java_developer_bonus,kms-technology,(Jr/Sr/Principal) Java Developer- BONUS, Java   JavaScript   Spring ,"174 Thai Ha, Dong Da, Ha Noi","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary ***Apply and Join in Sep 20 - Nov 30, 2021





Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. New member will get designated supports:





Working devices will be delivered at door upon the new member's joining date




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




----------------------------------------------------------------------------------------------------------------------------------------------------------------

Based on your competencies and potentials, you may take one of these positions:


A. Java Architect/Principal Engineer




Lead the offshore development center, ensure the understanding and compliance of offshore engineers to the product vision, and technical direction


Accountable for leading the development team to maintain, improve code quality, maintainability of the software suite and achieve other operational goals for the software suite (i.e. ease of deployment, CI/CD ready…)


Participate in software architecture and design activities with both the client’s technical leaders and KMS onshore/offshore, make technical decisions for the development of the applications




B. Junior/Senior Java Software Engineer




Love Coding.


Follow Your Passion.


Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients.


Take Your Skill to the Next Level.


The responsibility includes: design, coding, troubleshooting and working with project team as well as customers on features/bug fixes.










General requirements:





At least an intermediate skill level of English


Likely having 1+ years of experience (flexible depending on how fast your learning and technical developing capabilities are)


Familiar with the Agile development methodologies (Scrum, XP, Kanban)





Technical requirements:





A. 


Java Architect/ Principal Engineer




Solid knowledge and experience as enterprise software architect with the ability to be hands-on as a developer, a technical lead or architect


5+ years of experience with Java EE and application server architectures


4+ years of experience with RDBMS, SQL, and object/relational mappings, dealing with large data


Experience with scaling web-based applications and web security issues




B. Junior/Senior Java Software Engineer




Fluent with Java in order to develop enterprise web-based applications


Strong experience with web-based technologies: Spring (Spring Core, Spring MVC, Spring Security, Spring Data, Spring Boot) and ORM (JPA, Hibernate)


Experience with writing efficient SQL queries


Good experience with unit testing: JUnit, mock


Experience with Web Services (REST, etc.), Micro-services





Nice to have:





Experience with HTML/ CSS/ SCSS/ JavaScript/ Bootstrap, and one of following JavaScript frameworks: ReactJS, Angular, VueJS, KnockoutJS


Experience with AWS










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisal twice a year and performance bonus


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:product_manager_kms_labs_bonus,kms-technology,"Product Manager, KMS Labs - BONUS", Product Manager   English   Manager ,"290/26 Nam Ky Khoi Nghia, ward 8, District 3, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","KMS Labs
 is the startup incubation arm of KMS Technology. Our team consists of technology entrepreneurs who have built successful product companies from scratch:





QASymphony
 - test management platform, merged with Tricentis, valued at $2B




Kobiton
 - mobile testing platform, raised $34M with over 60K customers




Katalon 
- test automation platform, raised $27M with over 1M users




GroveHR 
- HR platform used by 32K companies



Work with us if you are:





Hungry. 
You are ambitious and want to be part of a high-impact startup.




Versatile. 
You are able to wear multiple hats on a regular basis. 




Result-oriented. 
You are fanatical about getting things done.




Purpose-driven. 
You want to commit to a mission and the team that is behind it.




Responsibilities


Join our team to build a cutting-edge UI design software product (think of Sketch or Figma, but... different). Our company is the 5th company started from KMS Labs. We are early but have an incredibly bold vision. We’re looking for a Product Manager to help take the product to the next level.



Perform market research and competitor analysis


Define product metrics, work with a dev to set up, track and analyze usage data


Engage with users, listen to their feedback, conduct user interviews


Work with the Head of Product to define features based on the product roadmap


Design and document feature specs and work with designers to create mockups


Work with developers to hand-off product features and perform user validation


Support the marketing team to improve user conversion and virality










3+ years relevant experience in product roles


Familiar with product analytics tools such as Mixpanel, Log Rocket etc.


Our users are all over the world, English communication is key


Bold, creative, and aggressive thinker


Strong critical thinking and problem-solving skills










Highly competitive salary and benefits


Work with a highly talented team in one of the best places to work in Vietnam


Modern office in HCMC; premium healthcare insurance for you and your family; annual company trip and year-end party; many fitness/sport programs and team building events; in-house entertainment facilities, snacks and beverages.



And much more, join us to build global software from Vietnam!"
kms-technology:sr_it_business_analyst_english_bonus,kms-technology,Sr IT Business Analyst (English) - BONUS, Business Analyst   Agile   English ,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary. ***Apply and Join in Sep 20 - Nov 30, 2021



---------------------------------------------------------------------------------------------------------




Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. The new members will get designated supports:





Working devices will be delivered at door upon the new member's joining date.




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




------------------------------------------------------------------------------------------------------------------



The Brilliant Career You'll Love



Business Analysts are engineers who are responsible for understanding the client’s business need, capturing the domain expertise that the client has, and translating this accurately into a succinct requirements document that will serve as the input to the software designers.


Key responsibilities:




Report directly to supervisor(s) and Project Manager if required;


Work with project team members and others if any;


Communicate with client counterparts if any;


Assess the client’s business needs and business processes (current and future);


Interview the domain experts at the client company to capture all relevant domain knowledge;


Conduct market research;


Document the product’s vision and the project’s scope;


Document the client’s business requirements in detail, (requirement specifications) with all assumptions and caveats included;


Define quality attributes, external interfaces, constraints, and other non-functional requirements;


Lead requirements analysis and verification, ensuring that requirement statements are complete, consistent, concise, comprehensible, traceable, feasible, unambiguous, and verifiable and that they conform to standards;


Participate in peer reviews and inspections of requirements documents;


Participate in peer reviews of work products derived from requirements, specifications to ensure that the requirements were interpreted correctly;


Serve as an internal point of contact for development team whenever requirements need to be clarified.




***Location : HCM, DN










Good command of English communications skills (speaking, listening, reading and writing);




Experience in an Agile environment or Scrum Master.



Possess basic &amp; Discrete knowledge and perform basic requirement gathering/management work mostly independently and require supervision for more complex work;


Knowledge of software development process, especially software requirement analysis;


Good listening and interviewing skills to understand a customer’s business environment and processes;


Ability to document business requirements in an accurate, unambiguous and succinct fashion;


Good UI/UX knowledge/experience;


Good presentation and client relation skills;


Good organizational, analytical, as well as oral and written communication skills;


Aptitude to learn and understand new and emerging technologies;


Having a technical background is a plus.










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:fullstack_dev_reactjsnodejs_kobiton,kms-technology,"Fullstack Dev (ReactJs,NodeJs) - Kobiton", ReactJS   NodeJS   Fresher Accepted ,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","is the mobile experience platform trusted by leading organizations globally.  Our best-in-class software platform helps drive improved revenue on the mobile channel by lowering app abandonment, improving quality and reducing time-to-market. Used by over 60,000 developers and testers worldwide, Kobiton is transforming the way companies deliver mobile apps through innovative applications of Artificial Intelligence, Real-Device Testing and the industry’s first and only mobile scriptless automation solution. There's a reason the world's mobile elite choose Kobiton to deliver perfect mobile experiences for their users.

Kobiton is founded and funded by KMS Technology, a global technology company with over 1,000 resources in Vietnam and the United States. KMS has an offshore product development business and also created two other software companies in the software testing space: QASymphony (sold to Insight Partners and merged with Tricentis ($100M ARR)) and Katalon (over 750,000 global users). Kobiton has the advantage of operating as its own company while leveraging the infrastructure and the strength from KMS.


Responsibilities


As a Senior/ Junior Full-Stack Javascript, you will use cutting-edge front-end and back-end technologies (NodeJS,React, Redux, Koa, AWS, ES2017) to build high-performance applications and APIs


Key responsibilities




Can be assigned to play the role of software architect, project lead, technical lead, or developer in a project


Select the most appropriate technical solution and demonstrate the proposed solution to the client and the development team


Design, document and implement the software architecture which addresses both functional and non-functional requirements such as performance, scalability, security, extensibility, and reliability etc


Design/implement or supervise the implementation of the system and subsystems


Mentor and provide guidance to other developers in the team


Lead or participate in code review sessions


Demonstrate know-how company-wide by conducting seminars, hosting knowledge sharing sessions and participating in innovation initiatives


Actively contribute ideas and efforts to product success









Qualifications




2+ year of experience on NodeJS platform


Have experience in building web application at backend using popular NodeJS web frameworks such as Express/Koa/LoopBack, etc.


Have experience in building web application at front-end frameworks such as ReactJS/Angular/VueJS, etc.


Strong motivation to drive impact by making product improvements. Comfort with collaboration, open communication and reaching across functional borders.


Understand practices for high code quality: maintainability, reusability, code reviewing, unit testing, etc.


Understanding of design patterns, object-oriented programming, architecture patterns


Good problem-solving skills.


Proactiveness (self-starter), good communication and fast learning




Nice to have




Experience in mobile industry


Contribute / author apps or libraries on developer public community like Github, Gitlab, Chrome Web Stores, etc.


Have experience in building web application in other platforms such as .NET /Java/Ruby on Rails, etc.










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:senior_ruby_on_rails_engineer_bonus,kms-technology,Senior Ruby on Rails Engineer - BONUS, Ruby on Rails   ReactJS   AWS ,"123 Cong Hoa, ward 12, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary. ***Apply and Join in Sep 20 - Nov 30, 2021



---------------------------------------------------------------------------------------------------------




Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. The new member will get designated supports:





Working devices will be delivered at door upon the new member's joining date




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




------------------------------------------------------------------------------------------------------------------


Your Key Responsibilities: 




Love Coding


Follow Your Passion


Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients


Take Your Skill to the Next Level




*** Location: HCM, DN








General requirements:




At least intermediate level of English level


Likely having 3+ years of experience depending on how fast of your learning and developing technical capability


Ability to self-learn and adapt to new technologies quickly




Technical requirements:




Strong experience in Ruby on Rails and willing to learn ReactJS


Experience in AWS, deploy applications in docker containers, Aurora database


Good experience with OO design and design patterns


Experience with software development principles such as SOLID, DRY




Nice to have:




Airbrake, New Relic for reporting and monitoring


WebRTC services from Twilio and Vonage for video


Familiar with Agile development methodologies (Scrum, XP, Kanban)



 








Perks You'll Enjoy 





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Two performance appraisals every year


Onsite opportunities: short-term and long-term assignments in North American (U.S, Canada), Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee, and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:senior_data_engineer_bonus,kms-technology,Senior Data Engineer - BONUS, Database   SQL   English ,"123 Cong Hoa, ward 12, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary. ***Apply and Join in Sep 20 - Nov 30, 2021



---------------------------------------------------------------------------------------------------------




Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. New member will get designated supports:





Working devices will be delivered at door upon the new member's joining date




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


Responsibilities




The Brilliant Career You Love 



You will implement data warehouse data models and dimensional data models, deliver ETL in SQL and will data analytics to build dashboard and business data insight.


Key responsibilities:




In collaboration with architect, implement data solutions that solve business problems


Design conceptual, logical and physical data models


Implement effective and scalable end-to-end data pipeline solutions


Optimize SQL queries for scale


Possess a comprehensive understanding of products and services









General requirements:




At least intermediate level of English level


Likely having 3+ years of experience depending on how fast of your learning and developing technical capability


Ability to obtain deep knowledge of the project technologies and work independently with minimum guidance


Ability to self-learn and adapt to new technologies quickly




Technical requirements:




Fluency in SQL and experience in Extract, Transform, and Load (ETL) development in SQL


Good knowledge and hands-on experience of using popular ETL tools such as: SSIS, Talend or Pentaho


Experience one of the following programming languages: Javascript, C#, Groovy or Java


Knowledge of the Business Intelligence (BI) / Data Warehousing (DW) industry


Interested in data business analysis to build metrics and reports




Nice to have:




Preferred experience with reporting and BI tools such as SSRS, PowerBI


Basic knowledge or experience of using cloud platform (AWS/Azure/GCP)


Familiar with Agile development methodologies (Scrum, XP, Kanban)










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
kms-technology:srjr_fullstack_nodejsreactjs_bonus,kms-technology,"Sr/Jr Fullstack (NodeJS,ReactJS) - BONUS", ReactJS   NodeJS ,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh","Inspired Leadership Team and Talented Colleagues 
Onsite opportunities: North America, Europe, Asia
Attractive salary and benefits","Full 13th Month Salary. ***Apply and Join in Sep 20 - Nov 30, 2021


-----------------------------------------------------------------------------------------



Acknowledgement of Covid-19 pandemic.




All KMSers will need to working from home to ensure safety. New member will get designated supports:





Working devices will be delivered at door upon the new member's joining date.




Onboarding will be organized virtually by both the HR personnel and the new team.




The HR personnel will be available for any support needs of the new member.




-----------------------------------------------------------------------------------------


Key Responsibilities: 




Love Coding


Follow Your Passion


Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients


Take Your Skill to the Next Level



The responsibility includes: design, coding, troubleshooting and working with the project team as well as customers on features/bug fixes.







General Requirements:




At least intermediate level of English level


Likely having 2+ years of experience depending on how fast of your learning and developing technical capability


Ability to self-learn and adapt to new technologies quickly




Technical Requirements:




Strong experience in NodeJS platform


Strong experience in HTML5, CSS3 and JavaScript/ES6


Experience in ReactJS


Understand practices for high code quality: maintainability, reusability, code reviewing, unit testing, etc.


Practice knowledge of website optimization techniques and fast page load times




Nice to have:




Experience in LESS, SASS, CSS framework


Knowledge or experience in using cloud platform (AWS/Azure/GCP)










Want to be the Best? Join KMS!


It’s positive to claim we’re one of the top IT companies in Vietnam:



From Vietnam, we have crafted brilliant products for millions of global users.


We build awesome global products to conquer the world from Vietnam: QASymphony, Kobiton, Katalon, Witurn, Sprynkl and many more to come.


We’re committed to investing in our people and building a workplace you’ll love coming to every day.





Perks you 'll love at KMS:





Working in one of the Best Places to Work in Vietnam


Building large-scale &amp; global software products


Working &amp; growing with Passionate &amp; Talented Team


Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions &amp; Consulting


Attractive Salary and Benefits


Performance appraisals every year


Onsite opportunities: short-term and long-term assignments in U.S, Europe, Asia.


Flexible working time


Various training on hot-trend technologies, best practices and soft skills


Premium healthcare insurance for you and your loved ones


Company trip, big annual year-end party every year, team building, etc.


Fitness &amp; sport activities: football, tennis, table-tennis, badminton, yoga, swimming…


Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…


Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…)



And much more, join us and let yourself explore other fantastic things!"
